module,classification,view_roles,create_roles,edit_roles,delete_roles,send_publish_roles,approve_reject_roles,import_export_roles,financial_data,guest_pii,documents,admin_controls,backend_coverage,notes
Authentication,IMPLEMENTED,"public,self",public,self,self,public,self,self,none unless linked record is redacted,redacted/none,linked file metadata only,none,IMPLEMENTED; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Server-side sessions, public auth flows and user-owned session revocation are enforced by NestJS."
Async Operations,IMPLEMENTED,"job creator; workspace member only through creator-owned API",system_worker,system_worker,system_worker,system_worker,system_worker,"job creator for owned export artifact",encrypted minimum command only,redacted/none,generated artifact metadata only,worker role with transaction-local job/workspace/user context,IMPLEMENTED; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"PostgreSQL is durable truth; BullMQ/Redis transports allowlisted jobs; owner DB credentials are migration-only."
Onboarding,IMPLEMENTED,workspace_members_by_capability,"couple_owner,couple_partner,wedding_planner","couple_owner,couple_partner,wedding_planner","couple_owner,couple_partner,wedding_planner",none,"couple_owner,couple_partner","couple_owner,couple_partner,wedding_planner",none unless linked record is redacted,redacted/none,"private profile images; MIME/size/checksum bounded; scan-gated reads",none,IMPLEMENTED; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Eight versioned sections persist incrementally with If-Match; optional couple profile images use private object storage; completion marks ready for Slice 2B and does not generate a plan."
Overview,IMPLEMENTED,"planning.read plus capability-filtered commercial/document/payment read",none,none,none,none,none,none,budget/payment summaries only,redacted activity only,authorized document metadata only,none,IMPLEMENTED_SLICE_6; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Canonical dashboard read model includes real planning, guest, operations, procurement, vault and provider-payment metrics with rule-based next action."
Public Aggregate Consent & Proof,IMPLEMENTED,"anonymous sanitized snapshot; couple_owner consent state",couple_owner,couple_owner,none,none,none,none,"no raw amounts; percentages rounded to 5 and cohort counts bucketed to 10","no names, email, phone, location, exact guest counts or raw tenant rows",none,"workspace.manage_public_aggregation granted only to couple_owner; worker can execute bounded SECURITY DEFINER aggregate but cannot SELECT raw consent/source tables",IMPLEMENTED_PUBLIC_PRODUCT_PROOF_V1; UNIT_TESTED,"Explicit opt-in defaults off and is policy-versioned; each metric is suppressed below 20 workspaces; public API ignores cookies, accepts no filters and serves only a last-good snapshot no older than 24 hours."
AI Copilot,IMPLEMENTED,copilot.read,copilot.use,copilot.create_proposal,none,none,"copilot.review_proposals; risk-tier approval capabilities",none,redacted summaries only,redacted sources only,"authorized vault text chunks only; no raw storage key","copilot.view_usage; provider config environment-only",IMPLEMENTED_SLICE_9; UNIT_TESTED; E2E_TESTED,"Read-only answers are grounded in persisted snapshots; every write is a versioned structured proposal requiring explicit review and separate execution."
Secure Document Vault,IMPLEMENTED,document.read,document.upload,"document.write; document.share",document.delete,none,none,"document.download; document.view_access_log",financial evidence by capability,redacted/none,"private object storage; immutable versions; signed short-lived downloads",document.manage_retention,IMPLEMENTED_SLICE_6; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Sensitive documents require explicit capability; quarantined and unscanned objects are never downloadable."
Electronic Signature,IMPLEMENTED,signature.read,signature.create,"signature.send; signature.cancel",none,signature.send,none,signature.download_evidence,contract values only,redacted signer snapshot,"immutable contract PDF and evidence document",signature.configure_provider,IMPLEMENTED_SLICE_6; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Operational acknowledgement remains distinct; fake provider is TEST and configured providers report their actual signature level."
Online Payment,IMPLEMENTED,online_payment.read,online_payment.create_checkout,online_payment.expire_checkout,none,none,online_payment.request_refund,online_payment.read_provider_details,provider transaction minor units,none,payment evidence links only,online_payment.reconcile,IMPLEMENTED_SLICE_6; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Redirects do not confirm payment; signed provider events append canonical ledger entries; refund commands require If-Match plus idempotency and reserve totals under transaction lock."
Planning,IMPLEMENTED,planning.read,planning.generate,"planning.write,planning.apply",planning.write,planning.apply,planning.apply,planning.read,none,redacted/none,GeneratedArtifact CSV only,worker context from persisted outbox execution,IMPLEMENTED_SLICE_2B; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Couple Owner/Partner and Planner receive planning capabilities; Family/Viewer remain read-only; proposal review and explicit apply are enforced."
